pl_name,hostname,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_eqt,pl_insol,discoverymethod,disc_year,st_age,st_teff,st_rad,st_mass,st_met,st_logg,sy_snum,sy_pnum,sy_dist
Kepler-6 b,Kepler-6,13.38,,3.23469931,,,,Transit,2009,7.76,5690.0,1.29,1.05,0.26,4.24,1,1,587.039
Kepler-6 b,Kepler-6,13.316,,3.2346944,,1374.57422722,843.71,Transit,2009,,5613.0,1.31,,,4.2,1,1,587.039
Kepler-6 b,Kepler-6,14.617,212.31044,3.2346996,0.04852,1460.0,,Transit,2009,,5647.0,1.39,1.21,0.34,4.24,1,1,587.039
Kepler-6 b,Kepler-6,13.41,,3.23469931,0.0435,1355.0,797.62,Transit,2009,,5640.0,1.29,1.05,0.34,4.24,1,1,587.039
Kepler-6 b,Kepler-6,13.41,,3.23469931,0.0435,1355.0,797.62,Transit,2009,,5640.0,1.29,1.05,0.34,4.24,1,1,587.039
Kepler-6 b,Kepler-6,12.902,,,,,792.22,Transit,2009,,5660.0,1.27,,,,1,1,587.039
Kepler-6 b,Kepler-6,13.103,201.18639,3.234702,0.04438,1451.0,,Transit,2009,5.7,5647.0,1.26,1.11,0.34,4.28,1,1,587.039
Kepler-6 b,Kepler-6,13.103,205.63601,3.2346994,0.04448,,,Transit,2009,5.7,5647.0,1.26,1.11,0.34,,1,1,587.039
Kepler-6 b,Kepler-6,,,3.23469918,,,,Transit,2009,,5613.0,1.31,0.99,0.27,4.2,1,1,587.039
Kepler-6 b,Kepler-6,13.101,,3.23469931,0.04408,,753.0,Transit,2009,6.46,5660.0,1.26,1.09,0.36,,1,1,587.039
Kepler-6 b,Kepler-6,,,3.2346994,,,,Transit,2009,,5613.0,1.31,0.99,0.27,4.2,1,1,587.039
Kepler-6 b,Kepler-6,14.83,212.619,3.234723,0.04567,1500.0,,Transit,2009,3.8,5647.0,1.39,1.21,0.34,4.24,1,1,587.039
Kepler-6 b,Kepler-6,13.41,,3.23469931,0.0435,1355.0,797.62,Transit,2009,,5640.0,1.29,1.05,0.34,4.24,1,1,587.039
Kepler-6 b,Kepler-6,11.07,,3.23469955,0.045,1260.0,,Transit,2009,1.3,5826.0,1.08,1.14,,4.42,1,1,587.039
Kepler-6 b,Kepler-6,,,3.234699,,,,Transit,2009,3.8,5647.0,1.39,1.21,0.34,4.24,1,1,587.039
Kepler-6 b,Kepler-6,13.06,,3.23469928,0.0435,1356.0,797.62,Transit,2009,,5640.0,1.29,1.05,0.34,4.24,1,1,587.039
Kepler-6 b,Kepler-6,,,3.2346993,,,,Transit,2009,3.8,5647.0,1.39,1.21,0.34,4.24,1,1,587.039
Kepler-6 b,Kepler-6,,,3.23469928,,,,Transit,2009,,5613.0,1.31,0.99,0.27,4.2,1,1,587.039
Kepler-491 b,Kepler-491,10.0,,4.2253846,0.052,1157.0,,Transit,2016,6.4,5541.0,1.17,1.05,,4.32,1,1,630.785
Kepler-491 b,Kepler-491,9.16,,4.22538451,0.0524,1118.0,369.43,Transit,2016,,5649.0,1.05,1.07,0.48,4.42,1,1,630.785
Kepler-491 b,Kepler-491,9.16,,4.22538451,0.0524,1118.0,369.43,Transit,2016,,5649.0,1.05,1.07,0.48,4.42,1,1,630.785
Kepler-491 b,Kepler-491,,,4.22538411,,,,Transit,2016,,5501.0,1.03,0.96,,4.39,1,1,630.785
Kepler-491 b,Kepler-491,9.16,,4.22538451,0.0524,1118.0,369.43,Transit,2016,,5649.0,1.05,1.07,0.48,4.42,1,1,630.785
Kepler-491 b,Kepler-491,8.523,,,,,312.51,Transit,2016,,5522.0,1.0,,,,1,1,630.785
Kepler-491 b,Kepler-491,8.889,,4.22534983,,1097.03862802,342.3,Transit,2016,,5501.0,1.03,,,4.39,1,1,630.785
Kepler-491 b,Kepler-491,,,4.22538454,,,,Transit,2016,,5501.0,1.03,0.96,,4.39,1,1,630.785
Kepler-491 b,Kepler-491,9.0,,4.22538454,0.0516,1111.0,360.46,Transit,2016,,5574.0,1.05,1.02,0.42,4.4,1,1,630.785
Kepler-491 b,Kepler-491,8.92,,4.22538451,,,,Transit,2016,4.47,5582.0,1.03,1.04,0.37,4.42,1,1,630.785
Kepler-491 b,Kepler-491,8.547,,4.22538451,0.05191,,300.1,Transit,2016,2.34,5522.0,0.98,1.04,0.37,,1,1,630.785
Kepler-257 b,Kepler-257,2.74,,2.38265287,0.0333,1237.0,553.53,Transit,2014,,5188.0,0.97,0.87,0.32,4.4,1,3,780.256
Kepler-257 b,Kepler-257,2.67,,2.38265217,0.0333,1237.0,553.53,Transit,2014,,5188.0,0.97,0.87,0.32,4.4,1,3,780.256
Kepler-257 b,Kepler-257,,,2.38265264,,,,Transit,2014,,4972.0,0.87,0.82,,4.47,1,3,780.256
Kepler-257 b,Kepler-257,2.201,,2.38265217,0.03391,,343.6,Transit,2014,1.48,5118.0,0.8,0.92,0.4,,1,3,780.256
Kepler-257 b,Kepler-257,2.67,,2.38265217,0.0333,1237.0,553.53,Transit,2014,,5188.0,0.97,0.87,0.32,4.4,1,3,780.256
Kepler-257 b,Kepler-257,2.0,,2.382666,0.032,1079.0,,Transit,2014,14.0,5058.0,0.75,0.74,,4.56,1,3,780.256
Kepler-257 b,Kepler-257,2.67,,2.38265217,0.0333,1237.0,553.53,Transit,2014,,5188.0,0.97,0.87,0.32,4.4,1,3,780.256
Kepler-257 b,Kepler-257,2.22,,2.38265217,,,,Transit,2014,4.79,5209.0,0.81,0.85,0.04,4.56,1,3,780.256
Kepler-257 b,Kepler-257,2.61,,2.382667,0.034,,,Transit,2014,,5180.0,1.04,,,4.36,1,3,780.256
Kepler-257 b,Kepler-257,,,2.38264321,,,,Transit,2014,,4972.0,0.87,0.82,,4.47,1,3,780.256
Kepler-257 b,Kepler-257,,,2.38265287,,,,Transit,2014,,4972.0,0.87,0.82,,4.47,1,3,780.256
Kepler-216 b,Kepler-216,2.12,,7.69363627,0.0767,1069.0,308.61,Transit,2014,,6086.0,1.22,1.01,-0.16,4.27,1,2,1187.47
Kepler-216 b,Kepler-216,1.91,,7.69364042,0.0785,1003.0,239.66,Transit,2014,,6277.0,1.03,1.08,-0.18,4.45,1,2,1187.47
Kepler-216 b,Kepler-216,2.35,,7.693641,0.079,,,Transit,2014,,6091.0,1.26,,,4.28,1,2,1187.47
Kepler-216 b,Kepler-216,1.91,,7.69364042,0.0785,1003.0,239.66,Transit,2014,,6277.0,1.03,1.08,-0.18,4.45,1,2,1187.47
Kepler-216 b,Kepler-216,2.867,,7.69364042,0.0794,,476.0,Transit,2014,5.13,6119.0,1.54,1.13,-0.07,,1,2,1187.47
Kepler-216 b,Kepler-216,1.91,,7.69364042,0.0785,1003.0,239.66,Transit,2014,,6277.0,1.03,1.08,-0.18,4.45,1,2,1187.47
Kepler-216 b,Kepler-216,,,7.69357196,,,,Transit,2014,,6093.45,1.63,1.14,-0.149,4.07,1,2,1187.47
Kepler-216 b,Kepler-216,2.765,,,,,540.03,Transit,2014,,6119.0,1.59,,,,1,2,1187.47
Kepler-216 b,Kepler-216,,,7.69362068,,,,Transit,2014,,6093.45,1.63,1.14,-0.149,4.07,1,2,1187.47
Kepler-216 b,Kepler-216,,,7.69363627,,,,Transit,2014,,6093.45,1.63,1.14,-0.149,4.07,1,2,1187.47
Kepler-216 b,Kepler-216,1.96,,7.693491,0.079,1008.0,,Transit,2014,0.28,6278.0,1.05,1.13,,4.45,1,2,1187.47
Kepler-216 b,Kepler-216,2.23,,7.69364042,,,,Transit,2014,3.55,6142.0,1.2,1.11,-0.04,4.33,1,2,1187.47
Kepler-32 c,Kepler-32,2.37,,8.75210645,,,,Transit,2011,2.69,3903.0,0.54,0.57,-0.07,4.72,1,5,323.847
Kepler-32 c,Kepler-32,2.0,,8.7522,0.067,470.0,,Transit,2011,2.0,3793.0,0.53,0.54,-0.01,,1,5,323.847
Kepler-32 c,Kepler-32,2.0,158.9,8.7522,0.09,,,Transit,2011,,3900.0,0.53,0.58,0.0,4.64,1,5,323.847
Kepler-32 c,Kepler-32,2.2,,8.75210645,0.0669,449.0,9.65,Transit,2011,,3727.0,0.5,0.52,0.04,4.76,1,5,323.847
Kepler-32 c,Kepler-32,2.2,,8.75210645,0.0669,449.0,9.65,Transit,2011,,3727.0,0.5,0.52,0.04,4.76,1,5,323.847
Kepler-32 c,Kepler-32,,,8.75209691,,,,Transit,2011,,3791.0,0.57,0.57,,4.67,1,5,323.847
Kepler-32 c,Kepler-32,1.98,,8.75208025,,,9.7,Transit,2011,,3791.0,0.57,0.57,,4.67,1,5,323.847
Kepler-32 c,Kepler-32,1.99,,8.752167,0.068,497.0,,Transit,2011,13.9,4061.0,0.52,0.55,,4.74,1,5,323.847
Kepler-32 c,Kepler-32,2.021,,,,,10.69,Transit,2011,,3801.0,0.53,0.57,,,1,5,323.847
Kepler-32 c,Kepler-32,1.83,,8.75209691,0.0664,451.0,9.76,Transit,2011,,3731.0,0.5,0.51,-0.02,4.75,1,5,323.847
Kepler-32 c,Kepler-32,2.02,7.7,8.752,,,,Transit,2011,,,0.53,0.57,,,1,5,323.847
Kepler-32 c,Kepler-32,2.08,,8.75245953,0.06699,449.0,,Transit,2011,,3727.0,0.5,0.52,0.04,,1,5,323.847
Kepler-32 c,Kepler-32,2.112,,,,,12.99,Transit,2011,,3731.0,0.57,,,,1,5,323.847
Kepler-32 c,Kepler-32,2.2,,8.75210645,0.0669,449.0,9.65,Transit,2011,,3727.0,0.5,0.52,0.04,4.76,1,5,323.847
Kepler-32 c,Kepler-32,1.94,,8.752,,,10.68,Transit,2011,,3787.0,0.51,0.51,-0.1,4.74,1,5,323.847
Kepler-32 c,Kepler-32,,,8.75208271,,,,Transit,2011,,3791.0,0.57,0.57,,4.67,1,5,323.847
Kepler-259 c,Kepler-259,2.76,,36.9249531,,,,Transit,2014,4.47,5578.0,0.9,0.93,-0.03,4.5,1,2,1002.14
Kepler-259 c,Kepler-259,2.71,,36.9249531,0.2155,530.0,18.7,Transit,2014,,5926.0,0.89,0.98,-0.2,4.53,1,2,1002.14
Kepler-259 c,Kepler-259,2.71,,36.9249531,0.2155,530.0,18.7,Transit,2014,,5926.0,0.89,0.98,-0.2,4.53,1,2,1002.14
Kepler-259 c,Kepler-259,,,36.92514966,,,,Transit,2014,,5613.0,0.89,0.99,,4.54,1,2,1002.14
Kepler-259 c,Kepler-259,,,36.9250409,,,,Transit,2014,,5613.0,0.89,0.99,,4.54,1,2,1002.14
Kepler-259 c,Kepler-259,3.01,,36.9250409,0.2155,530.0,18.7,Transit,2014,,5926.0,0.89,0.98,-0.2,4.53,1,2,1002.14
Kepler-259 c,Kepler-259,2.741,,36.9249531,0.20699,,15.5,Transit,2014,7.94,5511.0,0.9,0.87,-0.09,,1,2,1002.14
Kepler-259 c,Kepler-259,3.1,,36.92564,0.218,535.0,,Transit,2014,0.4,5931.0,0.91,1.01,,4.53,1,2,1002.14
Kepler-259 c,Kepler-259,3.12,,,,,15.05,Transit,2014,,5511.0,0.92,,,,1,2,1002.14
Kepler-259 c,Kepler-259,,,36.92515874,,,,Transit,2014,,5613.0,0.89,0.99,,4.54,1,2,1002.14
Kepler-259 c,Kepler-259,2.71,,36.9249531,0.2155,530.0,18.7,Transit,2014,,5926.0,0.89,0.98,-0.2,4.53,1,2,1002.14
Kepler-259 c,Kepler-259,2.7,,36.924931,0.217,,,Transit,2014,,5938.0,0.9,,,4.53,1,2,1002.14
Kepler-148 c,Kepler-148,3.6,,4.180043,0.05,,,Transit,2014,,5272.0,0.85,,,4.55,1,3,791.163
Kepler-148 c,Kepler-148,3.46,,4.18004955,,,,Transit,2014,4.68,5172.0,0.81,0.86,0.07,4.56,1,3,791.163
Kepler-148 c,Kepler-148,,,4.18004808,,,,Transit,2014,,5019.0,0.85,0.83,,4.5,1,3,791.163
Kepler-148 c,Kepler-148,3.339,,,,,187.2,Transit,2014,,5225.0,0.81,,,,1,3,791.163
Kepler-148 c,Kepler-148,3.55,,4.18004955,0.049,962.0,202.06,Transit,2014,,5271.0,0.84,0.89,0.14,4.54,1,3,791.163
Kepler-148 c,Kepler-148,,,4.1801057,,,,Transit,2014,,5019.0,0.85,0.83,,4.5,1,3,791.163
Kepler-148 c,Kepler-148,3.44,,4.18004808,0.0487,957.0,197.81,Transit,2014,,5227.0,0.84,0.88,0.14,4.54,1,3,791.163
Kepler-148 c,Kepler-148,3.1,,4.1800659,0.047,929.0,,Transit,2014,11.2,5187.0,0.78,0.78,,4.55,1,3,791.163
Kepler-148 c,Kepler-148,,,4.18004979,,,,Transit,2014,,5019.0,0.85,0.83,,4.5,1,3,791.163
Kepler-148 c,Kepler-148,3.55,,4.18004955,0.049,962.0,202.06,Transit,2014,,5271.0,0.84,0.89,0.14,4.54,1,3,791.163
Kepler-148 c,Kepler-148,3.55,,4.18004955,0.049,962.0,202.06,Transit,2014,,5271.0,0.84,0.89,0.14,4.54,1,3,791.163
Kepler-222 d,Kepler-222,3.75,,28.08194365,0.1777,522.0,17.52,Transit,2014,,5431.0,0.84,0.94,0.12,4.56,1,3,758.854
Kepler-222 d,Kepler-222,,,28.08185982,,,,Transit,2014,,5154.0,0.85,0.87,,4.52,1,3,758.854
Kepler-222 d,Kepler-222,,,28.08193595,,,,Transit,2014,,5154.0,0.85,0.87,,4.52,1,3,758.854
Kepler-222 d,Kepler-222,3.75,,28.08194365,0.1777,522.0,17.52,Transit,2014,,5431.0,0.84,0.94,0.12,4.56,1,3,758.854
Kepler-222 d,Kepler-222,3.69,,28.081912,0.18,,,Transit,2014,,5433.0,0.87,,,4.55,1,3,758.854
Kepler-222 d,Kepler-222,3.3,,28.08209,0.172,494.0,,Transit,2014,0.7,5342.0,0.76,0.86,,4.62,1,3,758.854
Kepler-222 d,Kepler-222,,,28.08196251,,,,Transit,2014,,5154.0,0.85,0.87,,4.52,1,3,758.854
Kepler-222 d,Kepler-222,3.513,,,,,15.09,Transit,2014,,5315.0,0.82,,,,1,3,758.854
Kepler-222 d,Kepler-222,3.563,,28.08194365,0.17673,,14.7,Transit,2014,1.17,5315.0,0.8,0.93,0.33,,1,3,758.854
Kepler-222 d,Kepler-222,3.63,,28.08185982,0.1777,522.0,17.52,Transit,2014,,5431.0,0.84,0.94,0.12,4.56,1,3,758.854
Kepler-222 d,Kepler-222,3.75,,28.08194365,0.1777,522.0,17.52,Transit,2014,,5431.0,0.84,0.94,0.12,4.56,1,3,758.854
Kepler-222 d,Kepler-222,3.74,,28.08194365,,,,Transit,2014,4.79,5295.0,0.84,0.88,0.05,4.54,1,3,758.854
Kepler-29 c,Kepler-29,3.14,4.0,13.2884,,,69.0,Transit,2011,,5701.0,0.93,0.98,-0.04,,1,2,832.532
Kepler-29 c,Kepler-29,1023.268,,13.28689074,0.10027,,39.9,Transit,2011,5.5,5378.0,0.73,0.76,-0.44,,1,2,832.532
Kepler-29 c,Kepler-29,,,13.28689997,,,,Transit,2011,,5358.15,0.82,0.93,-0.511,4.57,1,2,832.532
Kepler-29 c,Kepler-29,3.5,,13.28992,0.111,759.0,,Transit,2011,0.3,5966.0,0.92,1.03,,4.52,1,2,832.532
Kepler-29 c,Kepler-29,2.78,,13.28689997,0.1087,715.0,61.8,Transit,2011,,5730.0,0.87,0.97,-0.06,4.54,1,2,832.532
Kepler-29 c,Kepler-29,2.39,,,,,35.52,Transit,2011,,5378.0,0.75,,,,1,2,832.532
Kepler-29 c,Kepler-29,,,13.28689074,,,,Transit,2011,,5358.15,0.82,0.93,-0.511,4.57,1,2,832.532
Kepler-29 c,Kepler-29,2.34,4.5,13.28613,,,34.4,Transit,2011,,5378.0,0.73,0.76,-0.44,4.6,1,2,832.532
Kepler-29 c,Kepler-29,1226.4,,13.28689074,0.1088,714.0,61.37,Transit,2011,,5716.0,0.87,0.97,-0.04,4.54,1,2,832.532
Kepler-29 c,Kepler-29,,,13.28706214,,,,Transit,2011,,5358.15,0.82,0.93,-0.511,4.57,1,2,832.532
Kepler-29 c,Kepler-29,1226.4,,13.28689074,0.1088,714.0,61.37,Transit,2011,,5716.0,0.87,0.97,-0.04,4.54,1,2,832.532
Kepler-29 c,Kepler-29,2.9,95.3,13.2907,0.11,,,Transit,2011,,5750.0,0.96,1.0,0.0,5.0,1,2,832.532
Kepler-29 c,Kepler-29,1226.4,,13.28689074,0.1088,714.0,61.37,Transit,2011,,5716.0,0.87,0.97,-0.04,4.54,1,2,832.532
Kepler-179 b,Kepler-179,1.58,,2.73590337,0.0361,1072.0,312.39,Transit,2014,,5294.0,0.76,0.85,-0.16,4.6,1,2,605.68
Kepler-179 b,Kepler-179,1.56,,2.73590007,0.0362,1075.0,315.95,Transit,2014,,5299.0,0.77,0.86,-0.14,4.6,1,2,605.68
Kepler-179 b,Kepler-179,1.708,,2.73590337,0.03688,,338.9,Transit,2014,1.74,5257.0,0.82,0.89,0.12,,1,2,605.68
Kepler-179 b,Kepler-179,,,2.73591039,,,,Transit,2014,,5218.43,0.89,0.89,0.123,4.49,1,2,605.68
Kepler-179 b,Kepler-179,,,2.73589728,,,,Transit,2014,,5218.43,0.89,0.89,0.123,4.49,1,2,605.68
Kepler-179 b,Kepler-179,,,2.73590007,,,,Transit,2014,,5218.43,0.89,0.89,0.123,4.49,1,2,605.68
Kepler-179 b,Kepler-179,1.58,,2.73590337,0.0361,1072.0,312.39,Transit,2014,,5294.0,0.76,0.85,-0.16,4.6,1,2,605.68
Kepler-179 b,Kepler-179,1.58,,2.73590337,0.0361,1072.0,312.39,Transit,2014,,5294.0,0.76,0.85,-0.16,4.6,1,2,605.68
Kepler-179 b,Kepler-179,1.7,,2.73589,0.036,1056.0,,Transit,2014,0.6,5289.0,0.74,0.84,,4.63,1,2,605.68
Kepler-179 b,Kepler-179,1.694,,,,,360.26,Transit,2014,,5257.0,0.83,,,,1,2,605.68
Kepler-179 b,Kepler-179,1.64,,2.735926,0.036,,,Transit,2014,,5302.0,0.76,,,4.61,1,2,605.68
Kepler-179 b,Kepler-179,1.8,,2.73590337,,,,Transit,2014,4.27,5475.0,0.87,0.91,-0.02,4.52,1,2,605.68
Kepler-165 c,Kepler-165,2.23,,15.31299,0.11,,,Transit,2014,,5211.0,0.77,,,4.54,1,2,560.885
Kepler-165 c,Kepler-165,2.34,,15.31296388,0.1145,581.0,26.98,Transit,2014,,5081.0,0.77,0.86,0.12,4.6,1,2,560.885
Kepler-165 c,Kepler-165,2.277,,,,,25.93,Transit,2014,,5100.0,0.75,,,,1,2,560.885
Kepler-165 c,Kepler-165,2.24,,15.31297659,0.1088,605.0,31.71,Transit,2014,,5208.0,0.76,0.73,-0.32,4.55,1,2,560.885
Kepler-165 c,Kepler-165,2.24,,15.31297659,0.1088,605.0,31.71,Transit,2014,,5208.0,0.76,0.73,-0.32,4.55,1,2,560.885
Kepler-165 c,Kepler-165,2.49,,15.31307,0.112,613.0,,Transit,2014,10.5,5236.0,0.79,0.79,,4.54,1,2,560.885
Kepler-165 c,Kepler-165,,,15.31296388,,,,Transit,2014,,5155.0,0.73,0.87,,4.65,1,2,560.885
Kepler-165 c,Kepler-165,2.186,,15.31297659,0.1095,,27.6,Transit,2014,8.32,5100.0,0.74,0.75,-0.25,,1,2,560.885
Kepler-165 c,Kepler-165,2.25,,15.31297659,,,,Transit,2014,5.01,5108.0,0.76,0.8,-0.12,4.58,1,2,560.885
Kepler-165 c,Kepler-165,2.24,,15.31297659,0.1088,605.0,31.71,Transit,2014,,5208.0,0.76,0.73,-0.32,4.55,1,2,560.885
Kepler-165 c,Kepler-165,,,15.31289808,,,,Transit,2014,,5155.0,0.73,0.87,,4.65,1,2,560.885
Kepler-165 c,Kepler-165,,,15.312909,,,,Transit,2014,,5155.0,0.73,0.87,,4.65,1,2,560.885
Kepler-228 c,Kepler-228,,,4.13442899,,,,Transit,2014,,5675.0,1.18,1.01,,4.3,1,3,1644.61
Kepler-228 c,Kepler-228,2.84,,4.13443005,,,,Transit,2014,4.07,5630.0,0.92,0.95,-0.03,4.5,1,3,1644.61
Kepler-228 c,Kepler-228,3.423,,4.13443005,0.05053,,439.9,Transit,2014,6.76,5660.0,1.1,1.01,0.18,,1,3,1644.61
Kepler-228 c,Kepler-228,,,4.13447859,,,,Transit,2014,,5675.0,1.18,1.01,,4.3,1,3,1644.61
Kepler-228 c,Kepler-228,3.268,,,,,457.32,Transit,2014,,5660.0,1.15,,,,1,3,1644.61
Kepler-228 c,Kepler-228,3.02,,4.13443005,0.0514,1160.0,427.65,Transit,2014,,6046.0,0.97,1.05,-0.08,4.49,1,3,1644.61
Kepler-228 c,Kepler-228,2.77,,4.13443512,0.0514,1160.0,427.65,Transit,2014,,6046.0,0.97,1.05,-0.08,4.49,1,3,1644.61
Kepler-228 c,Kepler-228,2.7,,4.134444,0.052,,,Transit,2014,,6043.0,1.01,,,4.47,1,3,1644.61
Kepler-228 c,Kepler-228,2.8,,4.134403,0.051,1138.0,,Transit,2014,0.3,6014.0,0.94,1.04,,4.51,1,3,1644.61
Kepler-228 c,Kepler-228,,,4.13443512,,,,Transit,2014,,5675.0,1.18,1.01,,4.3,1,3,1644.61
Kepler-228 c,Kepler-228,3.02,,4.13443005,0.0514,1160.0,427.65,Transit,2014,,6046.0,0.97,1.05,-0.08,4.49,1,3,1644.61
Kepler-228 c,Kepler-228,3.02,,4.13443005,0.0514,1160.0,427.65,Transit,2014,,6046.0,0.97,1.05,-0.08,4.49,1,3,1644.61
Kepler-20 c,Kepler-20,,,10.8541002,,,,Transit,2011,,5489.0,0.91,0.96,0.02,4.5,2,6,282.563
Kepler-20 c,Kepler-20,,,10.85409593,,,,Transit,2011,,5489.0,0.91,0.96,0.02,4.5,2,6,282.563
Kepler-20 c,Kepler-20,,,10.85407744,,,,Transit,2011,,5489.0,0.91,0.96,0.02,4.5,2,6,282.563
Kepler-20 c,Kepler-20,2.894,11.1,10.8540774,0.0936,828.0,78.7,Transit,2011,5.6,5495.0,0.92,0.93,0.07,,2,6,282.563
Kepler-20 c,Kepler-20,3.04,,10.85409783,,,,Transit,2011,5.25,5569.0,0.93,0.95,0.04,4.48,2,6,282.563
Kepler-20 c,Kepler-20,3.03,,10.85409783,0.0919,765.0,80.88,Transit,2011,,5465.0,0.93,0.88,0.02,4.45,2,6,282.563
